theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_averageRolling7Day,all,all,default,2024,2024-11-03,0.0000,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_baselineCountsByDay,all,all,default,2024,2024-11-03,0.0800,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_averageRolling7Day,all,all,default,2024,2024-11-02,0.0000,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_baselineCountsByDay,all,all,default,2024,2024-11-02,0.0800,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_averageRolling7Day,all,all,default,2024,2024-11-01,0.0000,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_baselineCountsByDay,all,all,default,2024,2024-11-01,0.0800,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_averageRolling7Day,all,all,default,2024,2024-10-31,0.0000,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_baselineCountsByDay,all,all,default,2024,2024-10-31,0.0800,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_averageRolling7Day,all,all,default,2024,2024-10-30,0.0000,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_baselineCountsByDay,all,all,default,2024,2024-10-30,0.0800,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_averageRolling7Day,all,all,default,2024,2024-10-29,0.0000,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_baselineCountsByDay,all,all,default,2024,2024-10-29,0.0800,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_averageRolling7Day,all,all,default,2024,2024-10-28,0.0000,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_baselineCountsByDay,all,all,default,2024,2024-10-28,0.0800,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_averageRolling7Day,all,all,default,2024,2024-10-27,0.1400,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_baselineCountsByDay,all,all,default,2024,2024-10-27,0.0800,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_averageRolling7Day,all,all,default,2024,2024-10-26,0.1400,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_baselineCountsByDay,all,all,default,2024,2024-10-26,0.0800,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_averageRolling7Day,all,all,default,2024,2024-10-25,0.1400,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_baselineCountsByDay,all,all,default,2024,2024-10-25,0.0800,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_averageRolling7Day,all,all,default,2024,2024-10-24,0.1400,False
